iterations, time, cart::mass_pendulum[REAL], cart::mass_cart[REAL], cart::velocity[REAL], cart::position[REAL], cart::acceleration[REAL], cart::force[REAL], cart::force_pendulum[REAL], pendulum::cart_acceleration[REAL], pendulum::force[REAL], pendulum::length_pendulum[REAL], pendulum::angle[REAL], pendulum::mass_pendulum[REAL], pendulum::angular_velocity[REAL], controller::angle[REAL], controller::angular_velocity[REAL], controller::cart_velocity[REAL], controller::cart_position[REAL], controller::force[REAL]
0, 0, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.349066, 0.100000, 0.000000, 0.349066, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.01, 0.100000, 1.000000, 0.000000, 0.000000, 0.000000, 0.349066, -0.315210, 0.000000, -0.315210, 1.000000, 0.349401, 0.100000, 0.033552, 0.349401, 0.033552, 0.000000, 0.000000, 0.349066
2, 0.02, 0.100000, 1.000000, 0.000308, 0.000003, 0.030778, 0.416506, -0.315308, 0.030778, -0.315308, 1.000000, 0.350073, 0.100000, 0.067135, 0.350073, 0.067135, 0.000308, 0.000003, 0.416506
3, 0.03, 0.100000, 1.000000, 0.001228, 0.000015, 0.091998, 0.481173, -0.312865, 0.091998, -0.312865, 1.000000, 0.351078, 0.100000, 0.100491, 0.351078, 0.100491, 0.001228, 0.000015, 0.481173
4, 0.04, 0.100000, 1.000000, 0.002758, 0.000043, 0.153007, 0.539322, -0.307920, 0.153007, -0.307920, 1.000000, 0.352411, 0.100000, 0.133365, 0.352411, 0.133365, 0.002758, 0.000043, 0.539322
5, 0.05, 0.100000, 1.000000, 0.004861, 0.000092, 0.210365, 0.590275, -0.303178, 0.210365, -0.303178, 1.000000, 0.354069, 0.100000, 0.165789, 0.354069, 0.165789, 0.004861, 0.000092, 0.590275
6, 0.06, 0.100000, 1.000000, 0.007471, 0.000166, 0.260997, 0.634286, -0.298939, 0.260997, -0.298939, 1.000000, 0.356047, 0.100000, 0.197829, 0.356047, 0.197829, 0.007471, 0.000166, 0.634286
7, 0.07, 0.100000, 1.000000, 0.010520, 0.000271, 0.304861, 0.672003, -0.295471, 0.304861, -0.295471, 1.000000, 0.358343, 0.100000, 0.229578, 0.358343, 0.229578, 0.010520, 0.000271, 0.672003
8, 0.08, 0.100000, 1.000000, 0.013943, 0.000411, 0.342302, 0.704154, -0.292770, 0.342302, -0.292770, 1.000000, 0.360955, 0.100000, 0.261129, 0.360955, 0.261129, 0.013943, 0.000411, 0.704154
9, 0.09, 0.100000, 1.000000, 0.017683, 0.000588, 0.373985, 0.731454, -0.290798, 0.373985, -0.290798, 1.000000, 0.363880, 0.100000, 0.292572, 0.363880, 0.292572, 0.017683, 0.000588, 0.731454
10, 0.1, 0.100000, 1.000000, 0.021689, 0.000805, 0.400596, 0.754563, -0.289487, 0.400596, -0.289487, 1.000000, 0.367120, 0.100000, 0.323991, 0.367120, 0.323991, 0.021689, 0.000805, 0.754563
11, 0.11, 0.100000, 1.000000, 0.025917, 0.001064, 0.422796, 0.774075, -0.288767, 0.422796, -0.288767, 1.000000, 0.370675, 0.100000, 0.355463, 0.370675, 0.355463, 0.025917, 0.001064, 0.774075
12, 0.12, 0.100000, 1.000000, 0.030329, 0.001367, 0.441189, 0.790519, -0.288569, 0.441189, -0.288569, 1.000000, 0.374545, 0.100000, 0.387058, 0.374545, 0.387058, 0.030329, 0.001367, 0.790519
13, 0.13, 0.100000, 1.000000, 0.034892, 0.001716, 0.456318, 0.804362, -0.288828, 0.456318, -0.288828, 1.000000, 0.378734, 0.100000, 0.418842, 0.378734, 0.418842, 0.034892, 0.001716, 0.804362
14, 0.14, 0.100000, 1.000000, 0.039579, 0.002112, 0.468668, 0.816019, -0.289483, 0.468668, -0.289483, 1.000000, 0.383243, 0.100000, 0.450874, 0.383243, 0.450874, 0.039579, 0.002112, 0.816019
15, 0.15, 0.100000, 1.000000, 0.044365, 0.002555, 0.478670, 0.825852, -0.290478, 0.478670, -0.290478, 1.000000, 0.388075, 0.100000, 0.483210, 0.388075, 0.483210, 0.044365, 0.002555, 0.825852
16, 0.16, 0.100000, 1.000000, 0.049232, 0.003048, 0.486704, 0.834179, -0.291760, 0.486704, -0.291760, 1.000000, 0.393234, 0.100000, 0.515901, 0.393234, 0.515901, 0.049232, 0.003048, 0.834179
